created_at=>2010-12-28 20:41:07 UTC,title=>Jose supply chains,updated_at=>2011-02-03 04:47:04 UTC,id=>11,panda_video_id=>ff651e155817b7fa20e9a899fc843faa,day=>2,upload_file_name=>fp_02_01_02_jose_supply_chains.mov,upload_file_size=>127972711,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_02_01_02_jose_supply_chains.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/5bfe86728f1ebd4ec25a663103bf5e03_1.jpg,tags=>Day 1; Unit 2; Globalization in Practice
created_at=>2010-12-28 20:41:07 UTC,title=>Peter perceived growth of japanese market,updated_at=>2011-01-18 15:40:27 UTC,id=>12,panda_video_id=>6c6e373411a89027c716e513757217e2,day=>,upload_file_name=>fp_02_02_01_peter_perceived_growth_of_japanese_market.mov,upload_file_size=>53285891,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_02_02_01_peter_perceived_growth_of_japanese_market.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/e7d00b6eff90702ac4c01baf5389c198_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Karan education,updated_at=>2011-01-18 15:40:39 UTC,id=>13,panda_video_id=>c9f4a66ec0e676a556f56c2465da7856,day=>,upload_file_name=>fp_02_02_03_karan_education.mov,upload_file_size=>62984646,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_02_02_03_karan_education.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/117994965688644b433df65398962685_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Jose story in business,updated_at=>2011-01-18 15:41:19 UTC,id=>14,panda_video_id=>3c3b3663e6757440d6e3dddae0caedad,day=>,upload_file_name=>fp_02_03_01_jose_story_in_business.mov,upload_file_size=>77444324,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_02_03_01_jose_story_in_business.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/9c2b0a5ed69a07afa72a7882f99b0bfe_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Jose milestone project,updated_at=>2011-01-18 15:40:39 UTC,id=>15,panda_video_id=>44b7acb486c190c1b5ead953ccfcc5a9,day=>,upload_file_name=>fp_02_04_01_jose_milestone_project.mov,upload_file_size=>56225869,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_02_04_01_jose_milestone_project.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/5c5be24d0a23a20186181eb2385ec44e_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Jose understanding importance of history,updated_at=>2011-01-18 15:40:41 UTC,id=>16,panda_video_id=>9702999e6e4450919857e5650676f0cf,day=>,upload_file_name=>fp_03_01_01_jose_understanding_importance_of_history.mov,upload_file_size=>175857050,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_03_01_01_jose_understanding_importance_of_history.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/55d2d3f72a3fe38df6e5e3b3ab484159_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Jose ikea manager,updated_at=>2011-01-18 15:40:39 UTC,id=>17,panda_video_id=>25a90026c6187c9c263d40747d6da524,day=>,upload_file_name=>fp_03_01_02_jose_ikea_manager.mov,upload_file_size=>22625600,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_03_01_02_jose_ikea_manager.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/6d997f31c1e8baf4bb10377dc7ebc6fc_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Jose iphone,updated_at=>2011-01-18 15:40:40 UTC,id=>18,panda_video_id=>df94bc01d1161ac92f1ba788e2271617,day=>,upload_file_name=>fp_03_01_02_jose_iphone.mov,upload_file_size=>125810304,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_03_01_02_jose_iphone.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/bd05177dd5cbebffe56059d1bbb31e11_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Cliff introduction,updated_at=>2011-01-18 15:41:06 UTC,id=>19,panda_video_id=>d09c53902e339bf4c79ebff1b9cafbbb,day=>,upload_file_name=>fp_03_03_01_cliff_introduction.mov,upload_file_size=>40654960,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_03_03_01_cliff_introduction.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/b8336a981b60f01cc3224fd527814e91_1.jpg,tags=>Day 1; 
created_at=>2010-12-28 20:41:07 UTC,title=>Cliff good start concept,updated_at=>2011-01-18 15:40:40 UTC,id=>20,panda_video_id=>89208b99c59fd3741c6b28464123eb3e,day=>,upload_file_name=>fp_03_03_02_cliff_good_start_concept.mov,upload_file_size=>31894463,upload_content_type=>video/quicktime,upload_url=>http://s3.amazonaws.com/fullbridge-videos/fp_03_03_02_cliff_good_start_concept.mov,thumbnail_url=>http://fullbridge-lowres.s3.amazonaws.com/49561d3f15204096670c885c30c090a3_1.jpg,tags=>Day 1; 
