created_at=>2011-01-04 18:43:29 UTC,title=>Company factsheet,updated_at=>2011-02-03 04:47:28 UTC,id=>352,day=>2,quickload_header=>fp_02_04_01_,download_id=>1,download_type=>Doc,upload_url=>http://s3.amazonaws.com/fullbridge-docs/fp_02_04_01_COMPANY_FACTSHEET.doc,upload_file_name=>fp_02_04_01_COMPANY_FACTSHEET.doc,upload_file_size=>31232,upload_content_type=>application/msword,tags=>Day 1; Unit 2; Fullbridge Projects
created_at=>2011-01-05 14:03:13 UTC,title=>Starbucks international growth,updated_at=>2011-02-03 04:47:28 UTC,id=>379,day=>3,quickload_header=>fp_03_01_01_,download_id=>374,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_03_01_01_Starbucks_International_Growth.pdf,upload_file_name=>fp_03_01_01_Starbucks_International_Growth.pdf,upload_file_size=>907022,upload_content_type=>application/pdf,tags=>Day 2; Unit 3; Starbucks Research
created_at=>2011-01-05 14:03:14 UTC,title=>Gantt chart in excel,updated_at=>2011-02-03 04:47:28 UTC,id=>387,day=>18,quickload_header=>fp_18_03_01_,download_id=>382,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_18_03_01_Gantt+chart+in+Excel.pdf,upload_file_name=>fp_18_03_01_Gantt+chart+in+Excel.pdf,upload_file_size=>35122,upload_content_type=>application/pdf,tags=>Day 9; Unit 18; Managing Project Tasks
created_at=>2011-01-05 15:36:36 UTC,title=>American express model and brand,updated_at=>2011-02-03 04:47:28 UTC,id=>406,day=>19,quickload_header=>fp_19_01_01_,download_id=>401,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_19_01_01_American+Express+Model+and+Brand.pdf,upload_file_name=>fp_19_01_01_American+Express+Model+and+Brand.pdf,upload_file_size=>38430,upload_content_type=>application/pdf,tags=>Day 10; Unit 19; Suggestions on Industry & Company Analysis
created_at=>2011-01-05 20:55:16 UTC,title=>Apple,updated_at=>2011-02-03 04:47:29 UTC,id=>427,day=>24,quickload_header=>fp_24_02_01_,download_id=>422,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_24_02_01_apple.pdf,upload_file_name=>fp_24_02_01_apple.pdf,upload_file_size=>282054,upload_content_type=>application/pdf,tags=>Day 12; Unit 24; Growth Imperative
created_at=>2011-01-05 20:55:17 UTC,title=>Toyota,updated_at=>2011-02-03 04:47:29 UTC,id=>434,day=>24,quickload_header=>fp_24_03_02_,download_id=>429,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_24_03_02_Toyota.pdf,upload_file_name=>fp_24_03_02_Toyota.pdf,upload_file_size=>1041418,upload_content_type=>application/pdf,tags=>Day 12; Unit 24; Margin Analysis
created_at=>2011-01-05 20:55:17 UTC,title=>Zara,updated_at=>2011-02-03 04:47:29 UTC,id=>435,day=>24,quickload_header=>fp_24_03_02_,download_id=>430,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_24_03_02_Zara.pdf,upload_file_name=>fp_24_03_02_Zara.pdf,upload_file_size=>943694,upload_content_type=>application/pdf,tags=>Day 12; Unit 24; Margin Analysis
created_at=>2011-01-05 20:55:17 UTC,title=>Walmart,updated_at=>2011-02-03 04:47:29 UTC,id=>436,day=>24,quickload_header=>fp_24_03_02_,download_id=>431,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_24_03_02_walmart.pdf,upload_file_name=>fp_24_03_02_walmart.pdf,upload_file_size=>554917,upload_content_type=>application/pdf,tags=>Day 12; Unit 24; Margin Analysis
created_at=>2011-01-06 14:09:25 UTC,title=>Apple,updated_at=>2011-02-03 04:47:30 UTC,id=>779,day=>25,quickload_header=>fp_25_02_03_,download_id=>772,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_25_02_03_apple.pdf,upload_file_name=>fp_25_02_03_apple.pdf,upload_file_size=>282054,upload_content_type=>application/pdf,tags=>Day 13; Unit 25; Apple iPhone
created_at=>2011-01-06 20:32:25 UTC,title=>Apple,updated_at=>2011-02-03 04:47:31 UTC,id=>962,day=>26,quickload_header=>fp_26_02_04_,download_id=>952,download_type=>Pdf,upload_url=>http://s3.amazonaws.com/fullbridge-pdfs/fp_26_02_04_apple.pdf,upload_file_name=>fp_26_02_04_apple.pdf,upload_file_size=>282054,upload_content_type=>application/pdf,tags=>Day 13; Unit 26; iPhone vs. iPad
